study_accession,accession,condition,run,fq1,fq2
GSE125285,GSM3567704,NS,SRR8452520,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452520_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452520_2.fastq
GSE125285,GSM3567705,SCC,SRR8452521,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452521_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452521_2.fastq
GSE125285,GSM3567706,NS,SRR8452522,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452522_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452522_2.fastq
GSE125285,GSM3567707,SCC,SRR8452523,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452523_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452523_2.fastq
GSE125285,GSM3567708,NS,SRR8452524,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452524_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452524_2.fastq
GSE125285,GSM3567709,SCC,SRR8452525,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452525_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452525_2.fastq
GSE128786,GSM3684931,BCC,SRR8778568,/scratch/users/tbencomo/nmsc-data/fastq/SRR8778568.fastq,NA
GSE128786,GSM3684932,BCC,SRR8778572,/scratch/users/tbencomo/nmsc-data/fastq/SRR8778572.fastq,NA
GSE128786,GSM3684933,BCC,SRR8778576,/scratch/users/tbencomo/nmsc-data/fastq/SRR8778576.fastq,NA
GSE128786,GSM3684934,BCC,SRR8778580,/scratch/users/tbencomo/nmsc-data/fastq/SRR8778580.fastq,NA
GSE128786,GSM3684935,BCC,SRR8778584,/scratch/users/tbencomo/nmsc-data/fastq/SRR8778584.fastq,NA
GSE139505,GSM4142607,NS,SRR10357028,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357028_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357028_2.fastq
GSE139505,GSM4142608,NS,SRR10357029,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357029_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357029_2.fastq
GSE139505,GSM4142609,NS,SRR10357030,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357030_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357030_2.fastq
GSE139505,GSM4142610,NS,SRR10357031,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357031_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357031_2.fastq
GSE139505,GSM4142611,NS,SRR10357032,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357032_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357032_2.fastq
GSE139505,GSM4142612,NS,SRR10357033,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357033_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357033_2.fastq
GSE139505,GSM4142613,NS,SRR10357034,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357034_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357034_2.fastq
GSE139505,GSM4142614,SCC,SRR10357035,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357035_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357035_2.fastq
GSE139505,GSM4142615,SCC,SRR10357036,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357036_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357036_2.fastq
GSE139505,GSM4142616,SCC,SRR10357037,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357037_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357037_2.fastq
GSE139505,GSM4142617,SCC,SRR10357038,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357038_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357038_2.fastq
GSE139505,GSM4142618,SCC,SRR10357039,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357039_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357039_2.fastq
